,distortion,k,obj_name,run_time
0,334640.0424405961,10.0,person,13.079766035079956
0,318450.20354224415,20.0,person,22.945990562438965
0,309042.1563159425,30.0,person,35.75002455711365
0,302737.6053059953,40.0,person,52.802669286727905
0,298438.05577192345,50.0,person,69.28616213798523
0,294813.2792123864,60.0,person,77.11697435379028
0,291837.6080087286,70.0,person,87.53466796875
0,289333.1021928128,80.0,person,97.63949584960938
0,287104.452197776,90.0,person,103.93726515769958
0,40086.629797201014,10.0,diningtable,1.0738558769226074
0,38141.81208664406,20.0,diningtable,2.2178945541381836
0,37013.95469182892,30.0,diningtable,2.4013516902923584
0,36246.29561600907,40.0,diningtable,2.7854037284851074
0,35667.34042611716,50.0,diningtable,3.5825228691101074
0,35216.20192424097,60.0,diningtable,3.5233638286590576
0,34776.09159044176,70.0,diningtable,4.053743600845337
0,34481.002495828194,80.0,diningtable,4.10191011428833
0,34178.37298084745,90.0,diningtable,4.552068471908569
0,50537.06004788782,10.0,train,1.2964451313018799
0,48141.27442774952,20.0,train,3.0290513038635254
0,46711.52850571431,30.0,train,2.945798635482788
0,45744.70847907006,40.0,train,4.202169418334961
0,45043.021768096645,50.0,train,4.9681396484375
0,44437.44473894785,60.0,train,5.4825732707977295
0,43952.90882461223,70.0,train,5.558775424957275
0,43517.62817077109,80.0,train,6.081163644790649
0,43105.98778240655,90.0,train,6.859199047088623
0,12269.889568837161,10.0,cow,0.2456510066986084
0,11569.132852816,20.0,cow,0.37803173065185547
0,11196.941358700442,30.0,cow,0.4311361312866211
0,10951.533654417102,40.0,cow,0.46722888946533203
0,10728.369385350536,50.0,cow,0.5373923778533936
0,10540.900164435421,60.0,cow,0.5785646438598633
0,10416.030836720103,70.0,cow,0.764031171798706
0,10255.869172443521,80.0,cow,0.7890975475311279
0,10144.521078561085,90.0,cow,0.8502604961395264
0,10904.771234291758,10.0,bottle,0.2456526756286621
0,10288.736881208508,20.0,bottle,0.29678916931152344
0,9933.474761625597,30.0,bottle,0.3599247932434082
0,9667.934944614233,40.0,bottle,0.40407419204711914
0,9485.746102160072,50.0,bottle,0.4431767463684082
0,9330.712660536212,60.0,bottle,0.5203819274902344
0,9171.52961819405,70.0,bottle,0.5745265483856201
0,9025.227480576512,80.0,bottle,0.7128965854644775
0,8934.37413705708,90.0,bottle,0.7840850353240967
0,10396.812868517103,10.0,tvmonitor,0.25768399238586426
0,9642.025003824041,20.0,tvmonitor,0.35193562507629395
0,9267.648302254416,30.0,tvmonitor,0.3739964962005615
0,9019.03553290149,40.0,tvmonitor,0.3980560302734375
0,8798.817298433662,50.0,tvmonitor,0.4241518974304199
0,8629.52553423722,60.0,tvmonitor,0.4952828884124756
0,8515.317250980424,70.0,tvmonitor,0.5434448719024658
0,8369.604592872627,80.0,tvmonitor,0.6978566646575928
0,8251.89329595966,90.0,tvmonitor,0.7018327713012695
0,33195.58657784089,10.0,sofa,0.7479839324951172
0,31370.797751371516,20.0,sofa,1.1179718971252441
0,30347.266147584603,30.0,sofa,2.028391122817993
0,29615.43089860034,40.0,sofa,2.180570363998413
0,29095.879512763833,50.0,sofa,2.4925942420959473
0,28668.50347089743,60.0,sofa,2.6670889854431152
0,28308.87993117833,70.0,sofa,3.318291664123535
0,27999.367277543544,80.0,sofa,4.745615482330322
0,27693.78948714992,90.0,sofa,3.476238965988159
0,56341.179029755636,10.0,car,1.8318686485290527
0,53345.35669450832,20.0,car,3.1684203147888184
0,51726.702985194905,30.0,car,3.964538335800171
0,50637.291853808834,40.0,car,4.324093341827393
0,49683.26484660249,50.0,car,4.841870069503784
0,48951.4367088031,60.0,car,5.812418699264526
0,48359.47163030706,70.0,car,6.186443567276001
0,47847.703687217625,80.0,car,7.526970386505127
0,47491.43281514056,90.0,car,6.324812173843384
0,64918.04532163603,10.0,dog,2.3342125415802
0,61670.34155696857,20.0,dog,3.327815294265747
0,59791.73092591945,30.0,dog,4.930072546005249
0,58576.89679355221,40.0,dog,5.665056467056274
0,57614.938685985304,50.0,dog,6.664715051651001
