,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_degree,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,370.0717899799347,66.63629441261291,0.3474296799224054,0.3474297231493747,1,,0.001,rbf,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,2.1419258134139447,0.6458267812776395,0.00043895346653290753,0.00010976178482193365
1,359.360356092453,67.33686714172363,0.3474296799224054,0.3474297231493747,1,,0.001,sigmoid,"{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,3.379213586085349,0.4887354703226661,0.00043895346653290753,0.00010976178482193365
2,335.67842240333556,67.82298831939697,0.3474296799224054,0.3474297231493747,1,,0.0001,rbf,"{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,2.3293065248605984,1.2812598133901298,0.00043895346653290753,0.00010976178482193365
3,327.41863832473757,64.98404498100281,0.3474296799224054,0.3474297231493747,1,,0.0001,sigmoid,"{'C': 1, 'gamma': 0.0001, 'kernel': 'sigmoid'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,2.048549428448037,1.7191854954841412,0.00043895346653290753,0.00010976178482193365
4,417.1358337879181,72.37505326271057,0.3474296799224054,0.3474297231493747,10,,0.001,rbf,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,1.4868766862872176,0.9017903098236043,0.00043895346653290753,0.00010976178482193365
5,408.9320893764496,69.77627606391907,0.3474296799224054,0.3474297231493747,10,,0.001,sigmoid,"{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,2.8751094700095225,0.5756551242830183,0.00043895346653290753,0.00010976178482193365
6,381.5121780395508,70.56529116630554,0.3474296799224054,0.3474297231493747,10,,0.0001,rbf,"{'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,1.1374313186676985,0.7637171728163992,0.00043895346653290753,0.00010976178482193365
7,360.80714535713196,67.33307166099549,0.3474296799224054,0.3474297231493747,10,,0.0001,sigmoid,"{'C': 10, 'gamma': 0.0001, 'kernel': 'sigmoid'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,2.013910791813178,0.9527626820780739,0.00043895346653290753,0.00010976178482193365
8,397.8208662033081,72.35699920654297,0.3736825088910443,0.38459471005248336,100,,0.001,rbf,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",5,0.3664516129032258,0.3855236554791751,0.37391023571197934,0.3896345407503234,0.3777490297542044,0.3801018346399418,0.37411003236245954,0.3814141414141414,0.37621516526247567,0.3862993779788351,2.432224475759127,0.3100876654482406,0.0038876674603887016,0.0034487873852593305
9,392.586440038681,68.06609849929809,0.35286129970902036,0.35454288384251464,100,,0.001,sigmoid,"{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}",7,0.3512903225806452,0.35551961180752123,0.35292218275750725,0.3565653298835705,0.3521992238033635,0.3533500363695143,0.3511326860841424,0.35305050505050506,0.35677252106286456,0.35422893610146217,4.631569748051329,0.9965148356848892,0.00205736272577138,0.0013261167552974823
10,416.11309666633605,70.85271730422974,0.3474296799224054,0.3474297231493747,100,,0.0001,rbf,"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,1.433110442761742,0.7147534284691208,0.00043895346653290753,0.00010976178482193365
11,409.9849411487579,70.10758900642395,0.3474296799224054,0.3474297231493747,100,,0.0001,sigmoid,"{'C': 100, 'gamma': 0.0001, 'kernel': 'sigmoid'}",11,0.3467741935483871,0.3475940153659523,0.3471101065547304,0.34750970245795604,0.3476714100905563,0.3473692718015033,0.34757281553398056,0.3473939393939394,0.3480233311730395,0.3472816867275224,1.3979973310934926,0.833798703699195,0.00043895346653290753,0.00010976178482193365
